EXP_Time;EXP_PosRef;EXP_PosFb;EXP_Pressure_A;EXP_Pressure_B;EXP_Speed;EXP_Velocity;Exp_Current
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.006;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.007;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.008;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.009;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.011;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.012;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.013;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.014;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.016;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.017;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.018;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.019;0.000;0.000;4.997;0.000;0.000;0.000;1424.800
0.020;0.000;0.000;5.041;0.000;0.000;0.000;1423.500
0.021;0.000;0.000;5.019;0.000;0.000;0.000;1424.050
0.022;0.000;0.000;4.997;0.000;0.000;0.000;1423.950
0.023;0.000;0.000;4.956;0.000;0.000;0.000;1423.050
0.024;0.000;0.000;4.916;0.000;0.000;0.000;1424.200
0.025;0.000;0.000;4.938;0.000;0.000;0.000;1423.400
0.026;0.000;0.000;4.931;0.000;0.000;0.000;1424.300
0.027;0.000;0.000;5.034;0.000;0.000;0.000;1423.850
0.028;0.000;0.000;5.006;0.000;0.000;0.000;1423.400
0.029;0.000;0.000;4.984;0.000;0.000;0.000;1423.900
0.030;0.000;0.000;5.025;0.000;0.000;0.000;1423.050
0.031;0.000;0.000;4.984;0.000;0.000;0.000;1424.400
0.032;0.000;0.000;4.997;0.000;0.000;0.000;1423.150
0.033;0.000;0.000;4.981;0.000;0.000;0.000;1424.500
0.034;0.000;0.000;5.006;0.000;0.000;0.000;1424.750
0.035;0.000;0.000;4.975;0.000;0.000;0.000;1424.150
0.036;0.000;0.000;4.947;0.000;0.000;0.000;1424.650
0.037;0.000;0.000;4.978;0.000;0.000;0.000;1422.950
0.038;0.000;0.000;4.972;0.000;0.000;0.000;1424.300
0.039;0.000;0.000;5.006;0.000;0.000;0.000;1423.200
0.040;0.000;0.000;4.984;0.000;0.000;0.000;1423.700
0.041;0.000;0.000;4.972;0.000;0.000;0.000;1424.200
0.042;0.000;0.000;5.019;0.000;0.000;0.000;1423.250
0.043;0.000;0.000;5.022;0.000;0.000;0.000;1424.650
0.044;0.000;0.000;5.075;0.000;0.000;0.000;1423.450
0.045;0.000;0.000;5.088;0.000;0.000;0.000;1424.800
0.046;0.000;0.000;5.084;0.000;0.000;0.000;1425.050
0.047;0.000;0.000;5.006;0.000;0.000;0.000;1424.450
0.048;0.000;0.000;4.987;0.000;0.000;0.000;1425.650
0.049;0.000;0.000;5.056;0.000;0.000;0.000;1424.650
0.050;0.000;0.000;5.034;0.000;0.000;0.000;1425.400
0.051;0.000;0.000;5.034;0.000;0.000;0.000;1425.100
0.052;0.000;0.000;5.047;0.000;0.000;0.000;1425.400
0.053;0.000;0.000;5.047;0.000;0.000;0.000;1425.500
0.054;0.000;0.000;5.025;0.000;0.000;0.000;1424.750
0.055;0.000;0.000;5.019;0.000;0.000;0.000;1424.950
0.056;0.000;0.000;5.153;0.000;0.000;0.000;1425.100
0.057;0.000;0.000;5.150;0.000;0.000;0.000;1425.500
